Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEA1AA,2020.06,93239,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2020.09,93195,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2020.12,102683,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2021.03,101342,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2021.06,92962,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2021.09,91635,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2021.12,102423,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2022.03,100285,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AA,2022.06,94075,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,,
BDCQ.SEA1AS,2011.06,83975,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2011.09,84189,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2011.12,82508,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2012.03,84368,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2012.06,85744,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2012.09,85248,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2012.12,84320,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2013.03,85168,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2013.06,85614,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2013.09,87711,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2013.12,90129,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2014.03,90487,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2014.06,89920,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2014.09,91062,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2014.12,91056,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2015.03,91532,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2015.06,92012,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2015.09,91288,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2015.12,92605,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2016.03,92692,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2016.06,92648,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2016.09,92930,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2016.12,92126,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2017.03,92634,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2017.06,94402,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2017.09,94210,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2017.12,94216,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2018.03,94969,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2018.06,94587,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2018.09,93961,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2018.12,95272,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2019.03,96194,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2019.06,94597,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2019.09,94962,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2019.12,95287,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2020.03,95632,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2020.06,97028,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2020.09,100284,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2020.12,97150,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2021.03,96463,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2021.06,96625,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2021.09,98391,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2021.12,96809,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2022.03,95795,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AS,2022.06,97666,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,,
BDCQ.SEA1AT,2011.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2011.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2011.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2012.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2012.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2012.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2012.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2013.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2013.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2013.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2013.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2014.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2014.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2014.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2014.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2015.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2015.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2015.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2015.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2016.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2016.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2016.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2016.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2017.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2017.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2017.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2017.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2018.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2018.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2018.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2018.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2019.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2019.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2019.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2019.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2020.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2020.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2020.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2020.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2021.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2021.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2021.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2021.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2022.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1AT,2022.06,,Y,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,,
BDCQ.SEA1BA,2011.06,5234,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2011.09,5268,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2011.12,5499,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2012.03,5811,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2012.06,5847,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2012.09,5922,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2012.12,5722,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2013.03,5487,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2013.06,5506,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2013.09,5540,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2013.12,5492,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2014.03,6004,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2014.06,5886,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2014.09,5815,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2014.12,5592,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2015.03,5300,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2015.06,5422,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2015.09,5199,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2015.12,5060,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2016.03,5194,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2016.06,5080,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2016.09,5129,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2016.12,5157,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2017.03,5264,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2017.06,5164,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2017.09,5208,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2017.12,5381,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2018.03,5370,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2018.06,5385,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2018.09,5461,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2018.12,5434,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2019.03,5437,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2019.06,5068,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2019.09,5370,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2019.12,5165,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2020.03,5267,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2020.06,5245,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2020.09,5340,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2020.12,5271,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2021.03,5393,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2021.06,5351,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
BDCQ.SEA1BA,2021.09,5354,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Mining,Actual,,
